open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-30 00:53:00,102955.90,103500.00,102955.90,103500.00,3.329,1738198439999,343955.39790,37,2.231,230861.49950,0
2025-01-30 00:54:00,103500.00,103980.50,100737.00,103980.50,4.882,1738198499999,501184.93770,172,2.758,284951.32360,0
2025-01-30 00:55:00,103982.30,104000.00,102443.70,104000.00,1.390,1738198559999,144330.12060,42,1.160,120495.17490,0
2025-01-30 00:56:00,104000.00,104263.60,102000.00,103980.50,4.048,1738198619999,418994.85980,94,1.943,202009.15340,0
2025-01-30 00:57:00,103500.00,104022.10,102500.00,103780.00,1.291,1738198679999,133151.49310,51,0.336,34800.60960,0
2025-01-30 00:58:00,103100.00,103600.00,102000.00,103600.00,1.308,1738198739999,134281.44190,39,0.513,53057.64850,0
2025-01-30 00:59:00,103600.00,104044.70,103600.00,104044.70,0.290,1738198799999,30143.38420,18,0.286,29727.42760,0
2025-01-30 01:00:00,103984.00,103984.00,103641.00,103973.80,1.080,1738198859999,112278.55410,23,0.138,14346.66080,0
2025-01-30 01:01:00,103932.80,103942.90,103932.80,103942.90,0.020,1738198919999,2078.81760,2,0.016,1663.08640,0
2025-01-30 01:02:00,103942.90,103962.80,103942.90,103962.70,0.136,1738198979999,14136.32350,6,0.039,4053.85250,0
2025-01-30 01:03:00,103943.00,103983.90,103937.20,103983.90,0.188,1738199039999,19544.82650,7,0.099,10294.39630,0
2025-01-30 01:04:00,103937.20,103993.90,103932.70,103993.90,1.188,1738199099999,123499.63230,17,0.500,51992.00800,0
2025-01-30 01:05:00,103984.10,103984.10,103915.20,103915.20,0.621,1738199159999,64572.26320,12,0.001,103.91520,0
2025-01-30 01:06:00,103895.30,103926.50,103895.30,103895.30,0.043,1738199219999,4467.74800,9,0.012,1246.99370,0
2025-01-30 01:07:00,103895.30,103957.20,103895.30,103957.20,0.042,1738199279999,4364.02650,9,0.016,1662.74870,0
2025-01-30 01:08:00,103895.30,103968.00,103895.30,103968.00,0.010,1738199339999,1039.34150,6,0.003,311.88240,0
2025-01-30 01:09:00,103968.00,104000.20,103957.20,104000.20,1.930,1738199399999,200658.12630,17,1.442,149926.70420,0
2025-01-30 01:10:00,104000.20,104000.20,103960.00,103989.30,0.585,1738199459999,60838.68010,15,0.362,37648.02620,0
2025-01-30 01:11:00,103989.30,103990.00,103979.40,103989.50,0.119,1738199519999,12374.68880,10,0.006,623.93750,0
2025-01-30 01:12:00,103989.50,104009.00,103957.20,104009.00,2.440,1738199579999,253662.02630,13,0.012,1247.89350,0
2025-01-30 01:13:00,103999.90,103999.90,103957.30,103989.20,0.325,1738199639999,33796.95910,13,0.205,21317.79800,0
2025-01-30 01:14:00,103989.20,104009.90,100083.90,100394.50,196.248,1738199699999,19662977.86770,85,0.549,57063.18240,0
2025-01-30 01:15:00,100394.50,103950.00,100083.90,102955.90,2.099,1738199759999,216062.89620,106,1.625,167674.23310,0
2025-01-30 01:16:00,102858.70,102866.50,102858.70,102858.70,0.342,1738199819999,35177.92500,14,0.032,3291.72800,0
2025-01-30 01:17:00,102866.50,103950.00,100500.00,100906.80,2.106,1738199879999,215137.77530,82,0.714,73453.55600,0
2025-01-30 01:18:00,101040.90,103500.00,100291.50,103350.50,2.560,1738199939999,262440.07420,116,1.237,127346.94300,0
2025-01-30 01:19:00,102858.80,103500.00,102858.70,103499.90,0.612,1738199999999,63272.50850,19,0.504,52163.66970,0
2025-01-30 01:20:00,103499.90,103500.00,100084.00,101750.90,24.915,1738200059999,2505951.00110,149,2.231,229854.63530,0
2025-01-30 01:21:00,102127.50,104170.00,100083.90,103000.00,20.944,1738200119999,2143002.41730,191,10.571,1095585.89900,0
2025-01-30 01:22:00,103000.00,104033.00,102000.00,103440.00,1.170,1738200179999,120285.37920,66,0.498,51622.48400,0
2025-01-30 01:23:00,103980.50,104033.00,103468.20,103499.90,1.461,1738200239999,151290.22210,12,1.360,140836.75390,0
