open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-30 00:53:00,3210.00,3210.00,3210.00,3210.00,0.173,1738198439999,555.33000,2,0,0,0
2025-01-30 00:54:00,3210.00,3210.00,3210.00,3210.00,0,1738198499999,0,0,0,0,0
2025-01-30 00:55:00,3210.00,3210.00,3210.00,3210.00,0,1738198559999,0,0,0,0,0
2025-01-30 00:56:00,3210.01,3210.01,3210.01,3210.01,0.175,1738198619999,561.75175,1,0.175,561.75175,0
2025-01-30 00:57:00,3223.14,3262.43,3210.00,3210.00,0.404,1738198679999,1308.95175,7,0.250,811.76425,0
2025-01-30 00:58:00,3244.48,3244.48,3216.69,3216.69,0.152,1738198739999,491.67213,4,0,0,0
2025-01-30 00:59:00,3244.49,3394.65,3244.49,3394.65,0.350,1738198799999,1163.07599,6,0.350,1163.07599,0
2025-01-30 01:00:00,3293.41,3293.41,3265.21,3265.21,0.234,1738198859999,769.01777,7,0,0,0
2025-01-30 01:01:00,3257.25,3500.00,3236.71,3500.00,0.742,1738198919999,2491.51520,9,0.597,2021.88415,0
2025-01-30 01:02:00,3500.00,3518.90,3283.44,3283.44,0.215,1738198979999,717.61114,6,0.039,136.93470,0
2025-01-30 01:03:00,3311.80,3311.80,3210.01,3210.01,2.145,1738199039999,6922.63558,9,0,0,0
2025-01-30 01:04:00,3210.11,3210.11,3210.11,3210.11,0.193,1738199099999,619.55123,2,0,0,0
2025-01-30 01:05:00,3272.76,3518.99,3210.11,3518.99,12.729,1738199159999,44612.49998,20,12.578,44121.55350,0
2025-01-30 01:06:00,3286.26,3286.26,3258.12,3286.26,0.176,1738199219999,577.49331,5,0,0,0
2025-01-30 01:07:00,3286.26,3286.26,3286.26,3286.26,0,1738199279999,0,0,0,0,0
2025-01-30 01:08:00,3286.26,3286.26,3250.72,3250.72,0.137,1738199339999,446.81730,4,0,0,0
2025-01-30 01:09:00,3250.72,3250.72,3250.72,3250.72,0.137,1738199399999,445.34864,1,0,0,0
2025-01-30 01:10:00,3250.72,3250.72,3250.72,3250.72,0.135,1738199459999,438.84720,1,0,0,0
2025-01-30 01:11:00,3250.72,3250.73,3250.72,3250.73,0.179,1738199519999,581.88021,2,0,0,0
2025-01-30 01:12:00,3250.73,3250.73,3250.73,3250.73,0.030,1738199579999,97.52190,1,0,0,0
2025-01-30 01:13:00,3250.73,3250.73,3250.73,3250.73,0.191,1738199639999,620.88943,3,0,0,0
2025-01-30 01:14:00,3250.73,3250.73,3250.73,3250.73,0.129,1738199699999,419.34417,1,0,0,0
2025-01-30 01:15:00,3250.72,3250.72,3250.72,3250.72,0.157,1738199759999,510.36304,2,0,0,0
2025-01-30 01:16:00,3250.72,3250.72,3250.72,3250.72,0.195,1738199819999,633.89040,3,0,0,0
