open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-30 00:53:00,3.0995,3.0995,3.0995,3.0995,7.7,1738198439999,23.86615,1,0,0,0
2025-01-30 00:54:00,3.0995,3.0995,3.0995,3.0995,0,1738198499999,0,0,0,0,0
2025-01-30 00:55:00,3.0995,3.0995,3.0995,3.0995,0,1738198559999,0,0,0,0,0
2025-01-30 00:56:00,3.1726,3.1726,3.1726,3.1726,7.7,1738198619999,24.42902,1,7.7,24.42902,0
2025-01-30 00:57:00,3.0995,3.0995,3.0995,3.0995,169.5,1738198679999,525.36525,2,0,0,0
2025-01-30 00:58:00,3.0995,3.0995,3.0995,3.0995,159.6,1738198739999,494.68020,1,0,0,0
2025-01-30 00:59:00,3.0995,3.0995,3.0995,3.0995,0,1738198799999,0,0,0,0,0
2025-01-30 01:00:00,3.0995,3.0995,3.0995,3.0995,155.4,1738198859999,481.66230,1,0,0,0
2025-01-30 01:01:00,3.0995,3.0995,3.0995,3.0995,154.6,1738198919999,479.18270,1,0,0,0
2025-01-30 01:02:00,3.0995,3.0995,3.0995,3.0995,218.7,1738198979999,677.86065,2,0,0,0
2025-01-30 01:03:00,3.0995,3.0995,3.0995,3.0995,0,1738199039999,0,0,0,0,0
2025-01-30 01:04:00,3.0995,3.0995,3.0995,3.0995,153.9,1738199099999,477.01305,1,0,0,0
2025-01-30 01:05:00,3.0995,3.0995,3.0995,3.0995,151.7,1738199159999,470.19415,1,0,0,0
2025-01-30 01:06:00,3.0995,3.0995,3.0995,3.0995,149.3,1738199219999,462.75535,1,0,0,0
2025-01-30 01:07:00,3.0995,3.0995,3.0995,3.0995,0,1738199279999,0,0,0,0,0
2025-01-30 01:08:00,3.0995,3.0995,3.0995,3.0995,302.3,1738199339999,936.97885,2,0,0,0
2025-01-30 01:09:00,3.0995,3.0995,3.0995,3.0995,145.1,1738199399999,449.73745,1,0,0,0
2025-01-30 01:10:00,3.0995,3.0995,3.0995,3.0995,143.0,1738199459999,443.22850,1,0,0,0
2025-01-30 01:11:00,3.0995,3.0995,3.0995,3.0995,140.9,1738199519999,436.71955,1,0,0,0
2025-01-30 01:12:00,3.0995,3.0995,3.0995,3.0995,0,1738199579999,0,0,0,0,0
2025-01-30 01:13:00,3.0995,3.0995,3.0995,3.0995,138.8,1738199639999,430.21060,1,0,0,0
2025-01-30 01:14:00,3.0995,3.0995,3.0995,3.0995,136.7,1738199699999,423.70165,1,0,0,0
2025-01-30 01:15:00,3.0995,3.0995,3.0995,3.0995,135.4,1738199759999,419.67230,1,0,0,0
2025-01-30 01:16:00,3.0995,3.0995,3.0995,3.0995,139.7,1738199819999,433.00015,1,0,0,0
2025-01-30 01:17:00,3.0995,3.0995,3.0995,3.0995,137.5,1738199879999,426.18125,1,0,0,0
2025-01-30 01:18:00,3.0995,3.0995,3.0995,3.0995,0,1738199939999,0,0,0,0,0
2025-01-30 01:19:00,3.0995,3.0995,3.0995,3.0995,135.2,1738199999999,419.05240,1,0,0,0
2025-01-30 01:20:00,3.1097,3.2197,3.1097,3.2197,2939.9,1738200059999,9420.77603,5,2807.9,9010.29563,0
2025-01-30 01:21:00,3.2197,3.2197,3.2197,3.2197,0,1738200119999,0,0,0,0,0
2025-01-30 01:22:00,3.2197,3.2197,3.2197,3.2197,0,1738200179999,0,0,0,0,0
2025-01-30 01:23:00,3.2197,3.2197,3.2197,3.2197,0,1738200239999,0,0,0,0,0
2025-01-30 01:24:00,3.1097,3.1097,3.1097,3.1097,127.4,1738200299999,396.17578,1,0,0,0
